135
x y z vx vy vz KE
1.662389 1.661444 14.841078 -0.462967 0.320208 -1.487595 0.000000
1.634938 1.650312 15.961668 0.915836 -0.223333 -1.404629 0.000000
2.764945 1.660633 0.532428 -0.000520 0.794530 -0.103959 0.000000
2.741186 1.652499 1.660621 -1.189991 0.633158 -1.451950 0.000000
2.759330 1.658264 2.749081 -0.699883 0.855886 0.240591 0.000000
2.755740 1.658646 3.846261 -0.232176 -0.617354 0.097142 0.000000
2.750161 1.651298 4.950841 0.646238 -2.157324 1.257655 0.000000
2.749944 1.641236 6.046535 0.586712 -1.882755 -0.344570 0.000000
2.746846 1.656590 7.136358 -1.721254 1.423172 -1.943987 0.000000
2.754355 1.648383 8.254047 -0.518931 -0.169671 -0.561027 0.000000
2.735491 1.641195 9.348463 0.547530 -1.481666 -0.773390 0.000000
2.750991 1.635506 10.468637 -1.116080 0.016996 0.122062 0.000000
2.753122 1.652600 11.549227 -0.274180 1.125379 -0.149992 0.000000
2.767289 1.664678 12.654817 -0.907921 0.775297 0.693993 0.000000
2.754461 1.665676 13.768052 0.663910 -0.745316 -0.405616 0.000000
2.742870 1.636277 14.864478 -0.714803 0.885643 -0.694203 0.000000
2.742175 1.643818 15.940363 -0.954911 -0.996640 -0.457279 0.000000
0.540116 2.745766 0.550337 -0.256537 0.851492 -1.423575 0.000000
0.559032 2.742355 1.661187 -0.980544 -0.470881 -0.639044 0.000000
0.548909 2.750418 2.763162 -0.672986 0.577511 0.637519 0.000000
0.551900 2.768656 3.845150 -0.985455 -0.620884 0.151630 0.000000
0.562371 2.729563 4.966049 0.590479 0.649223 1.023548 0.000000
0.555684 2.748429 6.046532 0.419856 -0.146534 1.213064 0.000000
0.544207 2.758639 7.153941 0.642172 2.953948 1.300964 0.000000
0.554524 2.750404 8.255607 0.080586 -0.102088 0.829239 0.000000
0.556038 2.756152 9.361033 0.567122 0.103876 0.861519 0.000000
0.546502 2.762134 10.440038 -0.257994 -1.590138 -0.215699 0.000000
0.545598 2.754052 11.543097 0.546345 0.293993 -0.954595 0.000000
0.546825 2.758977 12.662695 0.570827 -1.099651 0.479138 0.000000
0.553238 2.758152 13.742580 0.400702 1.012894 -0.307906 0.000000
0.544292 2.748408 14.847125 2.337148 -0.978311 2.342017 0.000000
0.550711 2.744931 15.937423 -0.011439 -0.492188 0.138177 0.000000
1.647415 2.766407 0.561052 -0.745243 1.119594 -0.327928 0.000000
